"","shopname","addr","telephone","long","lat"
"1","역삼아레나빌딩","서울특별시 강남구 언주로 425 (역삼동)","02-568-3762","127.043069","37.501087"
"2","논현역사거리","서울특별시 강남구 강남대로 538 (논현동)","02-3442-3672","127.022223","37.510178"
"3","국기원사거리","서울특별시 강남구 테헤란로 125 (역삼동)","02-568-3668","127.031495","37.499517"
"4","대치대원빌딩R","서울특별시 강남구 남부순환로 2947 (대치동)","02-568-3704","127.062583","37.494668"
"5","삼성역섬유센터R","서울특별시 강남구 테헤란로 518 (대치동)","02-568-3648","127.060651","37.507750"
"6","압구정R","서울특별시 강남구 언주로 861 (신사동)","02-541-3622","127.033061","37.5273669"
"7","수서역R","서울특별시 강남구 광평로 281 (수서동)","02-6181-3688","127.102650","37.488008"
"8","양재강남빌딩R","서울특별시 강남구 남부순환로 2621 (도곡동)","02-571-3604","127.036685","37.485192"
"9","선릉동신빌딩R","서울특별시 강남구 테헤란로 409 (삼성동)","02-2051-3562","127.050409","37.505321"
"10","봉은사로선정릉","서울특별시 강남구 봉은사로 446 (삼성동)","02-539-3564","127.048409","37.511293"
"11","강남오거리","서울특별시 강남구 봉은사로2길 39 (역삼동)","02-557-3484","127.026672","37.502117"
"12","스타필드코엑스몰R","서울특별시 강남구 영동대로 513 (삼성동)","02-6002-3467","127.061455","37.50999"
"13","강남구청정문","서울특별시 강남구 학동로 419 (청담동)","02-514-3397","127.045995","37.518181"
"14","도곡공원","서울특별시 강남구 도곡로 205 (역삼동)","02-565-3496","127.041309","37.492805"
"15","강남R","서울특별시 강남구 강남대로 390 (역삼동)","02-561-3478","127.028439","37.497711"
"16","대치은마사거리","서울특별시 강남구 도곡로 457 (대치동)","02-554-3315","127.060172","37.498973"
"17","청담영동대로","서울특별시 강남구 영동대로 720 (청담동)","02-3443-3371","127.056449","37.522156"
"18","압구정","서울특별시 강남구 압구정로30길 17 (신사동)","02-541-3306","127.029560","37.526283"
"19","신사가로수","서울특별시 강남구 압구정로12길 32 (신사동)","02-3446-3356","127.022510","37.521852"
"20","청담스타R","서울특별시 강남구 도산대로57길 24 (청담동)","02-514-3364","127.041827","37.525216"
"21","강남우성","서울특별시 강남구 강남대로 328 (역삼동)","02-565-3347","127.030910","37.492396"
"22","학동사거리","서울특별시 강남구 도산대로 328 (논현동) HS빌딩","02-758-8971","127.03795430000002","37.52236449999999"
"23","대치사거리","서울특별시 강남구 삼성로 402 (대치동)","02-561-3287","127.058817","37.503331"
"24","포스코사거리","서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩","02-554-3235","127.05742710000004","37.5075307"
"25","을지병원사거리","서울특별시 강남구 논현로 752 (논현동,구산빌딩)","02-758-8896","127.0286446","37.5191632"
"26","신사역","서울특별시 강남구 도산대로 108 (논현동) 렉스타워","02-758-8848","127.0207428","37.5162021"
"27","도곡역","서울특별시 강남구 남부순환로 2909 (대치동)","02-758-8809","127.057398","37.492167"
"28","서울세관사거리","서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회","02-758-8798","127.035653","37.514887"
"29","청담사거리","서울특별시 강남구 도산대로 458 (청담동) 리츠타워","02-758-8726","127.04686509999999","37.5236351"
"30","한티역","서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)","02-758-8683","127.055055","37.496801"
"31","역삼초교사거리","서울특별시 강남구 역삼로 123 (역삼동)","02-758-8739","127.03299730000003","37.4941059"
"32","코엑스몰","서울특별시 강남구 영동대로 513 (삼성동) 코엑스","02-758-8733","127.059024","37.511921"
"33","가로수길","서울특별시 강남구 논현로175길 94, 1~2층 (신사동)","02-758-8661","127.02162499999997","37.5231593"
"34","역삼대로","서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)","02-758-8626","127.039375","37.501623"
"35","역삼포스코","서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)","02-758-8631","127.033582","37.499721"
"36","강남대로","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)","02-758-8624","127.025546","37.50314"
"37","청담","서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)","02-758-8659","127.05155990000003","37.5243631"
"38","삼성도심공항","서울특별시 강남구 테헤란로87길 33 (삼성동)","02-758-8635","127.05791339999996","37.5097863"
"39","삼성교","서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)","02-758-8592","127.06517","37.507794"
"40","학동역","서울특별시 강남구 논현로 704 (논현동)","02-758-8101","127.0307302","37.51464884"
"41","대치","서울특별시 강남구 도곡로 511 (대치동)","02-758-8063","127.0622171","37.49966175"
"42","기술센터","서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)","02-6009-3410","127.0436409","37.50329211"
"43","SSG마켓도곡R","서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)","02-2191-1219","127.054895","37.490298"
"44","삼성","서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)","02-758-8038","127.0555503","37.50703529"
"45","선릉세화빌딩","서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)","02-758-8028","127.051196","37.50377562"
"46","압구정역","서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)","02-758-8013","127.0281105","37.52674095"
"47","압구정로","서울특별시 강남구 압구정로42길 32 (신사동)","02-758-8231","127.0347174","37.52680046"
"48","구역삼사거리","서울특별시 강남구 논현로 401 (역삼동)","02-758-8247","127.0388645","37.49592355"
"49","큰길타워","서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)","02-758-8116","127.0407","37.50236693"
"50","강남구청역","서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)","02-758-8119","127.04124330000002","37.5165849"
"51","대치역","서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)","02-758-8120","127.061874","37.493554"
"52","포이","서울특별시 강남구 논현로 88 (개포동)","02-758-8122","127.0451411","37.47781106"
"53","아크플레이스","서울특별시 강남구 테헤란로 142 (역삼동)","02-758-8158","127.0349084","37.49971982"
"54","학여울역","서울특별시 강남구 영동대로 215 (대치동)","02-758-8151","127.0684943","37.49803646"
"55","선정릉역","서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩","02-758-8970","127.04455970000003","37.51075489999999"
"56","삼성현대힐","서울특별시 강남구 삼성로 605 (삼성동)","02-758-8278","127.0527183","37.51354184"
"57","GS타워","서울특별시 강남구 논현로 508 (역삼동)","02-758-8129","127.03727759999992","37.5018592"
"58","압구정미소","서울특별시 강남구 논현로 841 (신사동)","02-758-8109","127.027915","37.52405601"
"59","선릉역","서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)","02-758-8108","127.0485135","37.50393894"
"60","수서","서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층","02-758-8165","127.1017508","37.48801132"
"61","코엑스사거리","서울특별시 강남구 영동대로 616 (삼성동)","02-758-8478","127.060109","37.515351"
"62","역삼럭키","서울특별시 강남구 도곡로 183 (역삼동)","02-758-8463","127.039389","37.492209"
"63","차병원사거리","서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)","02-758-8444","127.035373","37.508032"
"64","청담공원","서울특별시 강남구 학동로 506 (삼성동)","02-758-8394","127.05143870000006","37.5186549"
"65","신압구정","서울특별시 강남구 언주로174길 29 (신사동)","02-758-8398","127.036441","37.528115"
"66","아크로힐스논현","서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)","02-758-8317","127.0403869","37.50898041"
"67","뱅뱅사거리","서울특별시 강남구 강남대로 282 (도곡동)","02-758-8325","127.032415","37.488585"
"68","강남비젼타워","서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)","02-758-8492","127.02968850000002","37.4964557"
"69","역삼역","서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)","02-758-8314","127.0351577","37.50080096"
"70","압구정로데오역","서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)","02-758-8345","127.040437","37.526549"
"71","르네상스사거리","서울특별시 강남구 테헤란로 306 (역삼동)","02-758-8321","127.044308","37.502721"
"72","포스코","서울특별시 강남구 삼성로86길 7, 1층 (대치동)","02-758-8331","127.057966","37.50576"
"73","선릉로","서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)","02-758-8552","127.046577","37.505053"
"74","삼성역","서울특별시 강남구 테헤란로103길 9 (삼성동)","02-758-8585","127.063864","37.510015"
"75","논현힐탑","서울특별시 강남구 논현로 648 (논현동)","02-758-8426","127.03226199999994","37.5115577"
"76","도산가로수길","서울특별시 강남구 도산대로 134, 2층 (논현동)","02-758-8429","127.02329570000006","37.51736229999999"
"77","미아뉴타운","서울특별시 강북구 삼양로 161 (미아동)","02-980-3341","127.021072","37.618319"
"78","강북구청사거리","서울특별시 강북구 도봉로 365 (수유동)","02-758-8944","127.0273766","37.6400354"
"79","미아사거리역","서울특별시 강북구 도봉로 32 (미아동)","02-758-8859","127.0306971","37.611809"
"80","수유역","서울특별시 강북구 도봉로 342 (번동)","02-758-8104","127.02613500000007","37.6380167"
"81","미아역","서울특별시 강북구 도봉로 196 (미아동)","02-758-8500","127.026578","37.626148"
"82","우장산역","서울특별시 강서구 강서로 267 (내발산동)","02-2664-2624","126.835984","37.549090"
"83","마곡사이언스타워R","서울특별시 강서구 마곡동로 62 (마곡동)","02-2659-3585","126.833954","37.561492"
"84","방화DT","서울특별시 강서구 방화대로 375 (방화동)","02-2664-3480","126.816415","37.574339"
"85","마곡나루역","서울특별시 강서구 마곡중앙로 161-17 (마곡동)","02-3662-3504","126.82614","37.56813"
"86","마곡GMG","서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호","02-2659-3404","126.829667","37.560487"
"87","가양역","서울특별시 강서구 양천로 476 (등촌동)","02-3661-3418","126.853327","37.561640"
"88","화곡DT","서울특별시 강서구 등촌로 57 (화곡동)","02-2648-3257","126.863232","37.535149"
"89","양천향교역","서울특별시 강서구 강서로 463 (마곡동)","02-2658-3312","126.840731","37.566964"
"90","화곡동","서울특별시 강서구 화곡로 142(화곡동)","02-758-8881","126.8372413","37.5405115"
"91","등촌","서울특별시 강서구 공항대로 329 (등촌동)","02-758-8883","126.84433919999992","37.5582043"
"92","염창역","서울특별시 강서구 공항대로 627 (염창동)","02-758-8694","126.874436","37.547359"
"93","발산역","서울특별시 강서구 강서로 388 (등촌동) 그랜드마트","02-758-8720","126.839279","37.56033"
"94","가양이마트","서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동)","02-758-8070","126.86229779999996","37.5578966"
"95","까치산역","서울특별시 강서구 강서로13길 3 (화곡동)","02-758-8538","126.846077","37.532303"
"96","관악서울대입구R","서울특별시 관악구 관악로 158 (봉천동)","02-883-3725","126.952780","37.479343"
"97","신림DT","서울특별시 관악구 남부순환로 1419 (신림동)","02-851-3283","126.908407","37.480935"
"98","서울대역","서울특별시 관악구 남부순환로 1817 (봉천동)","02-876-3252","126.952200","37.481599"
"99","낙성대DT","서울특별시 관악구 남부순환로 1948 (봉천동)","02-872-3249","126.965005","37.476169"
"100","사당","서울특별시 관악구 남부순환로 2082-25","02-758-8721","126.980997","37.47601"
"101","보라매대교","서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)","02-758-8629","126.925432","37.491449"
"102","신림사거리","서울특별시 관악구 남부순환로 1619 (신림동)","02-758-8645","126.930467","37.484768"
"103","신림","서울특별시 관악구 신림로 355-1 (신림동)","02-758-8290","126.9291602","37.48609493"
"104","신림역포도몰","서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)","02-758-8286","126.9301799","37.48385383"
"105","서울대입구역","서울특별시 관악구 남부순환로 1812 (봉천동)","02-758-8460","126.951324","37.48118"
"106","어린이대공원역","서울시 광진구 능동로243","02-464-3656","127.076404","37.551946"
"107","아차산역","서울시 광진구 천호대로 676","02-455-3637","127.0898757","37.5505388"
"108","올림픽대교북단","서울특별시 광진구 광나루로 608 (구의동)","02-453-3514","127.095240","37.541129"
"109","구의DT","서울특별시 광진구 광나루로 519 (구의동)","02-758-8901","127.0871587","37.5451984"
"110","자양사거리","서울특별시 광진구 아차산로 355","02-758-8865","127.0825821","37.5371158"
"111","군자역","서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩","02-758-8748","127.078916","37.556703"
"112","광나루","서울특별시 광진구 아차산로 607, 1,2층 (광장동)","02-758-8648","127.105934","37.547442"
"113","건대스타시티","서울특별시 광진구 아차산로 262 (자양동)","02-758-8197","127.0725451","37.53780432"
"114","자양","서울특별시 광진구 능동로 50 (자양동)","02-758-8159","127.06914619999998","37.5354769"
"115","강변역","서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버","02-758-8759","127.093086","37.536155"
"116","건대입구","서울특별시 광진구 능동로 107 (화양동)","02-758-8305","127.07072249999999","37.5406604"
"117","구의역","서울특별시 광진구 아차산로 373 (구의동)","02-758-8476","127.084015","37.53698"
"118","광장","서울특별시 광진구 아차산로 537-17 (광장동)","02-758-8508","127.099789","37.542857"
"119","건국클래식","서울특별시 광진구 능동로 90 (자양동) 더 클래식500","02-758-8519","127.070709","37.53838"
"120","가산에스케이","서울특별시 금천구 가산디지털1로 171 (가산동)","02-6244-8046","126.8805702","37.48061318"
"121","독산사거리","서울특별시 금천구 시흥대로 426 (독산동)","02-838-3444","126.898775","37.471511"
"122","금천시흥","서울특별시 금천구 시흥대로 164 (시흥동)","02-805-3360","126.903183","37.448624"
"123","가산디지털단지역","서울특별시 금천구 벚꽃로 298 (가산동)","02-2083-8302","126.883779","37.481324"
"124","금천독산","서울특별시 금천구 두산로 70 (독산동)","02-758-8765","126.895246","37.46914"
"125","가산디지털","서울특별시 금천구 가산디지털1로 168 (가산동)","02-758-8147","126.88249969999992","37.4798346"
"126","W-Mall","서울특별시 금천구 디지털로 188 (가산동)","02-758-8196","126.8876908","37.47730499"
"127","마리오아울렛","서울특별시 금천구 벚꽃로 266 마리오아울렛3관","02-758-8542","126.885076","37.478701"
"128","가산브이타워","서울특별시 금천구 가산디지털1로 128 (가산동)","02-758-8371","126.883683","37.477221"
"129","가산그레이트","서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)","02-758-8346","126.88747680000006","37.4794491"
"130","월계트레이더스","서울시 노원구 마들로3길 15","02-971-3748","127.06149779999998","37.6277053"
"131","상계초교사거리","서울 노원구 노원로 449","02-931-3660","127.066442 ","37.656776"
"132","공릉DT","서울특별시 노원구 동일로 1015 (공릉동)","02-971-3457","127.0743116","37.6206884"
"133","노원마들역","서울특별시 노원구 노원로 569 (상계동, 임광아파트)","02-934-3438","127.058008","37.660941"
"134","공릉역","서울특별시 노원구 동일로 1081 (공릉동)","02-972-3380","127.072252","37.626337"
"135","서울여대","서울특별시 노원구 화랑로 621 (공릉동)","02-758-8647","127.093084","37.626163"
"136","은행사거리","서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)","02-758-8238","127.0759861","37.65048737"
"137","노원KT","서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)","02-758-8523","127.063617","37.654562"
"138","광운대","서울특별시 노원구 석계로 104 (월계동)","02-758-8485","127.06070090000003","37.6231479"
"139","중계역","서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)","02-758-8567","127.062244","37.64817"
"140","노원역","서울특별시 노원구 동일로 1413, 1층 (상계동)","02-758-8584","127.060034","37.654751"
"141","월계이마트","서울특별시 노원구 마들로3길 15 (월계동)","02-758-8573","127.062094","37.627155"
"142","창동이마트","서울특별시 도봉구 노해로65길 4 (창동)","02-903-3791","127.046869","37.651645"
"143","쌍문역","서울특별시 도봉구 도봉로 480 (창동)","02-758-8691","127.034783","37.648456"
"144","남성역","서울특별시 동작구 사당로 219 (사당동)","02-533-3783","126.9725739","37.4841198"
"145","보라매공원R","서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)","02-832-3693","126.92334570798292","37.49226212712864"
"146","이수자이","서울특별시 동작구 사당로 300 (사당동 이수자이)","02-588-3657","126.980047","37.484414"
"147","노량진역","서울특별시 동작구 노량진로 134 (노량진동)","02-816-3581","126.940879","37.513390"
"148","신대방삼거리역","서울특별시 동작구 상도로 102 (상도동)","02-813-3501","126.931766","37.499914"
"149","중앙대","서울특별시 동작구 흑석로 75-1 (흑석동)","02-812-3250","126.958125","37.506933"
"150","숭실대입구역","서울특별시 동작구 상도로 354 (상도동)","02-815-3205","126.95271230000003","37.4968346"
"151","숭실대","서울특별시 동작구 사당로 4 (상도동)","02-758-8153","126.9548891","37.49538073"
"152","사당역","서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)","02-758-8311","126.9813456","37.47849216"
"153","상암YTN","서울특별시 마포구 상암산로 76 (상암동)","02-304-3752","126.892315","37.579183"
"154","마포용강동","서울특별시 마포구 토정로 295 (용강동)","02-3275-3655","126.942209","37.541186"
"155","홍대입구역사거리R","서울특별시 마포구 양화로 125 (서교동)","02-325-3531","126.92036","37.554636"
"156","마포경찰서후문","서울특별시 마포구 마포대로 173-14 (아현동)","02-392-3555","126.953432","37.550800"
"157","공덕","서울특별시 마포구 마포대로 130 (공덕동)","02-716-3426","126.952956","37.545913"
"158","합정폴리스R","서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)","02-324-3587","126.9134","37.5509"
"159","홍대공항철도역","서울특별시 마포구 양화로 178 (동교동)","02-332-3516","126.925146","37.557491"
"160","마포염리","서울특별시 마포구 독막로 311 (염리동)","02-3272-3331","126.947680","37.543876"
"161","서강광흥창역","서울특별시 마포구 서강로 69 (창전동)","02-325-3351","126.931661","37.549377"
"162","합정","서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2","02-323-3214","126.912999","37.549630"
"163","서강대흥역","서울특별시 마포구 백범로 89-5 (대흥동)","02-3272-3335","126.941576","37.548178"
"164","서교동사거리","서울특별시 마포구 양화로 105 (서교동)","02-326-5218","126.918564","37.553376"
"165","상암사보이시티","서울특별시 마포구 월드컵북로54길 17 (상암동)","02-373-3225","126.888983","37.581470"
"166","신촌오거리","서울특별시 마포구 신촌로16길 10 (노고산동)","02-334-3275","126.934694","37.555137"
